loc_nombre,loc_cpostal,prv_nombre
Cruz Quemada,4434,Salta
Cuchiyaco,4419,Salta
Cuesta Azul,4651,Salta
Cuesta Chica,4415,Salta
Cuesta Del Obispo,4417,Salta
Curuzu,4401,Salta
Damian N Torino,4409,Salta
Diamante,4419,Salta
Diamante,4198,Salta
Diego De Almagro,4409,Salta
Dique Embalse Campo Alegre,4432,Salta
Dique Itiruyo,4568,Salta
Divisadero,4446,Salta
Doctor Facundo Zuviria,4423,Salta
Doctor Facundo Zuviria,4421,Salta
Dos Yuchanes,4554,Salta
Dragones,4554,Salta
Duraznito,4190,Salta
Durazno,4425,Salta
Durazno,4440,Salta
Ebro,4434,Salta
El Ñato,4561,Salta
El Acheral,4425,Salta
El Acheral,4425,Salta
El Aguay,4563,Salta
El Aguilar,4651,Salta
El Alfredito,4409,Salta
El Algarrobal,4448,Salta
El Algarrobo,4434,Salta
El Alisal,4409,Salta
El Arenal,4448,Salta
El Aybal,4400,Salta
El Borde De San Miguel,4432,Salta
El Bordo,4449,Salta
El Bordo,4430,Salta
El Bordo,4432,Salta
El Bordo,4193,Salta
El Bordo Campo Santo,4446,Salta
El Breal,4535,Salta
El Brealito,4419,Salta
El Brete,4126,Salta
El Candado,4415,Salta
El Carancho,4421,Salta
El Carmen,4449,Salta
El Carmen,4421,Salta
El Carmen,4419,Salta
El Carmen,4530,Salta
El Carmen,4405,Salta
El Carril,4421,Salta
El Carrizal,4446,Salta
El Ceibal,4430,Salta
El Ceibal,4430,Salta
El Ceibal,4193,Salta
El Chorro,4560,Salta
El Churcal,4419,Salta
El Cienego,4554,Salta
El Colegio,4403,Salta
El Colgado,4430,Salta
El Condor,4193,Salta
El Corral Viejo,4198,Salta
El Corralito,4405,Salta
El Creston,4425,Salta
El Cuchillo,4550,Salta
El Cuibal,4126,Salta
El Cuinco Pozo Del,4542,Salta
El Desmonte,4538,Salta
El Destierro,4535,Salta
El Dorado,4405,Salta
El Encon,4407,Salta
El Espinillo,4554,Salta
El Espinillo,4430,Salta
El Estanque,4434,Salta
El Fraile,4425,Salta
El Gallinato,4401,Salta
El Galpon Est Foguista J F,4444,Salta
El Golgota,4409,Salta
El Guanaco,4440,Salta
El Huaico,4403,Salta
El Jaravi,4446,Salta
El Jardin,4126,Salta
El Leoncito,4421,Salta
El Libano,4434,Salta
El Manantial,4449,Salta
El Manzano,4405,Salta
El Maray,4415,Salta
El Mirador,4535,Salta
El Mistol,4534,Salta
El Molino,4415,Salta
El Mollar,4421,Salta
El Mollar,4405,Salta
El Molle,4530,Salta
El Moranillo,4430,Salta
El Moyar,4423,Salta
El Naranjo,4434,Salta
El Naranjo,4126,Salta
El Naranjo,4191,Salta
El Nogalar,4415,Salta
El Obelisco,4425,Salta
El Ojito,4198,Salta
El Ojo,4193,Salta
El Oso,4434,Salta
El Pacara,4446,Salta
El Parque,4444,Salta
El Pericote,4449,Salta
El Pertigo,4554,Salta
El Portezuelo,4190,Salta
El Porvenir,4452,Salta
